ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,35,3548500,2,3,1,214.977014,236.656026,B,A,C,C,A,A,A,D,B,A
2017,3,31,3147006,2,2,1,150.764213,202.90058199999999,A,A,D,A,A,A,B,E,E,A
2017,2,29,2914604,2,3,1,187.05972,169.392963,A,D,F,A,B,B,A,B,C,C
2017,3,35,3543709,2,3,1,185.650817,215.424655,A,F,D,B, , ,C,C,A,B
2017,3,35,3550308,1,3,1,282.5704,354.025723,A,A,D,C,C,B,A,D,E,C
2017,2,28,2800308,1,3,1,220.861647,238.448214,A,C,D,A,A,A,C,D,E,B
2017,3,35,3530607,2,3,1,272.820362,264.295733,B,C,D,B,A,A,A,D,E,A
2017,2,24,2408003,2,3,1,249.824117,260.59594,A,C,D,C,A,A,A,B,E,B
2017,2,29,2914000,2,3,1,202.9422,242.241011,A,A,D,A,A,A,A,A,A,C
2017,2,21,2109452,2,3,2,173.33376,191.144022,B,C,D,A,A,A, ,A,D,A
2017,3,33,3300456,2,3,1,183.116688,218.067468,B,F,E,A,A,B,A,D,A,B
2017,4,42,4213401,2,3,1,274.641033,292.158505,B,A,D,B,A,A,A,A,E,A
2017,1,14,1400209,2,3,1,143.768072,207.733479,A,A,C,A,A,C,B,D,A,B
2017,3,31,3170701,2,2,1,266.082665,274.343776,B,B,C,B,A,A,A,B,B,B
2017,2,21,2107506,2,3,2,200.647176,164.951312,B,B,C,A,A,A,A,C,A,B
2017,2,29,2921708,2,3,1,214.920378,191.487033,B,C,C,A,A,B,C,B,B,A
2017,3,35,3513504,2,3,1,127.321271,184.311017,B,B,D,A,A,B,A,D,A,B
2017,2,26,2611606,1,3,1,248.260513,235.625931,B,E,C,A,A,B,B,B,A,B
2017,3,35,3538709,2,2,1,246.06069,214.86752,A,C,C,A,A,B,B,D,B,B
2017,3,32,3203205,2,3,1,166.334423,195.180119,B,C,E,B,A,B,A,A,A,A
2017,2,21,2111300,1,3,2,244.141127,182.02871,A,E,D,A,A,B,C,E,C,B
2017,3,31,3138807,2,3,1,199.344658,214.76384,B,A,D,B,A,A,B,D,D,A
2017,4,43,4301008,2,3,1,222.88765,245.05642,A,A,E,C, ,B,A,E,C,C
2017,3,35,3550308,1,2,1,201.535281,242.473635,A,C,D,A,A,B,A,B,A,B
2017,3,31,3106200,1,3,1,209.808651,261.184095,B,C,C,A,A, ,A,A,A,A
2017,3,31,3136702,2,2,1,183.302353,199.252378,B,F,D,B,A,A,A,B,E,B
2017,3,31,3162500,2,2,1,249.083718,259.570484,A,C,D,B,A,A,A,C,E,C
2017,3,35,3519071,2,3,1,203.183013,248.205058,A,C,D,A,A,B,B,D,A,A
2017,3,35,3528502,2,3,1,225.711405,272.647332,A,C,C,C,A,C,A,D,A,B
2017,3,31,3170651,2,3,1,187.524928,272.121721,A,A,D,A,A,A,B,A,A,B
